date, entries
2019-12-31,0

2020-01-01,0

2020-01-02,0

2020-01-03,0

2020-01-04,0

2020-01-05,0

2020-01-06,0

2020-01-07,0

2020-01-08,0

2020-01-09,0

2020-01-10,0

2020-01-11,1

2020-01-12,1

2020-01-13,1

2020-01-14,1

2020-01-15,2

2020-01-16,2

2020-01-17,2

2020-01-18,2

2020-01-19,3

2020-01-20,3

2020-01-21,6

2020-01-22,17

2020-01-23,17

2020-01-24,26

2020-01-25,41

2020-01-26,56

2020-01-27,81

2020-01-28,106

2020-01-29,132

2020-01-30,170

2020-01-31,213

2020-02-01,259

2020-02-02,305

2020-02-03,362

2020-02-04,427

2020-02-05,493

2020-02-06,565

2020-02-07,638

2020-02-08,724

2020-02-09,813

2020-02-10,910

2020-02-11,1018

2020-02-12,1115

2020-02-13,1370

2020-02-14,1383

2020-02-15,1527

2020-02-16,1669

2020-02-17,1775

2020-02-18,1873

2020-02-19,2012

2020-02-20,2128

2020-02-21,2247

2020-02-22,2359

2020-02-23,2463

2020-02-24,2619

2020-02-25,2698

2020-02-26,2762

2020-02-27,2800

2020-02-28,2857

2020-02-29,2921

2020-03-01,2979

2020-03-02,3046

2020-03-03,3118

2020-03-04,3202

2020-03-05,3282

2020-03-06,3385

2020-03-07,3488

2020-03-08,3585

2020-03-09,3814

2020-03-10,4023

2020-03-11,4292

2020-03-12,4618

2020-03-13,4969

2020-03-14,5407

2020-03-15,5761

2020-03-16,6506

2020-03-17,7102

2020-03-18,7891

2020-03-19,8842

2020-03-20,9883

2020-03-21,11249

2020-03-22,12939

2020-03-23,14599

2020-03-24,16363

2020-03-25,18563

2020-03-26,20989

2020-03-27,23670

2020-03-28,26988

2020-03-29,30449

2020-03-30,33574

2020-03-31,37271

2020-04-01,41885

2020-04-02,46883

2020-04-03,51514

2020-04-04,58141

2020-04-05,64400

